SLNO,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,url
221,0.0,0.0,0.178707224335,0,0,0,0.0,0.0,0,1,0,http://arnsic.nic.in
222,143.0,0.00699300699301,0.013986013986,0,0,52,429.25,87.1505532906,15,20,0,http://arogya.maharashtra.gov.in
223,384.0,0.00520833333333,0.0963541666667,3,29,35,2271.6015625,98.919015356,76,10,0,http://arogyakeralam.gov.in
224,11.0,0.181818181818,0.181818181818,0,1,0,0.48046875,0.0,0,1,0,http://art.puducherry.gov.in
225,0.0,0.0,0.181818181818,0,0,0,0.0,0.0,0,1,0,http://artassam.nic.in
226,0.0,0.0,0.181818181818,0,0,0,0.0,0.0,0,1,0,http://artcollegechd.nic.in
227,150.0,0.0,0.146666666667,0,162,20,187.669921875,84.2642605139,27,12,2,http://arun-taxexcise.nic.in
228,9.0,0.0,1.0,0,82,122,15169.4882812,97.7541459277,100,15,5,http://arunachalassembly.gov.in
229,754.0,0.00132625994695,0.188328912467,1,10,17,1124.19921875,73.3543841971,10,12,10,http://arunachalforests.gov.in
230,45.0,0.0,0.0222222222222,0,24,11,1606.95507812,98.9440432884,33,13,1,http://arunachalgovernor.gov.in
231,432.0,0.0740740740741,0.0972222222222,1,13,37,18443.1738281,94.8653512876,70,15,21,http://arunachalipr.gov.in
232,134.0,0.0,0.0746268656716,0,15,0,128.97265625,92.4114849926,14,4,1,http://arunachalphed.nic.in
233,276.0,0.0,0.213768115942,0,71,36,35.521484375,52.4303073624,10,7,1,http://arunachalplan.nic.in
234,301.0,0.0,0.395348837209,0,4,16,363.776367188,97.6889024904,8,16,0,http://arunachalpower.org.in
235,175.0,0.12,0.645714285714,0,6,10,2215.23828125,63.8678119065,12,4,27,http://arunachalpradesh.gov.in/csp_ap_portal/Services_new.html
236,175.0,0.12,0.645714285714,0,6,10,2138.41796875,62.6283485711,12,4,27,http://arunachalpradesh.gov.in/rural
237,11.0,0.181818181818,0.181818181818,0,1,0,0.48046875,0.0,0,1,0,http://arunachalswwcd.gov.in
238,397.0,0.0428211586902,0.0831234256927,0,10,44,321.325195312,66.9113200035,5,7,0,http://arunachaltp.nic.in
