p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,url
4.0,0.0,0.25,0.0,0.0,0.0,0.2148,0.0,0.0,1.0,0.0,http://egmmsplsgsy.cgg.gov.in
4.0,0.0,0.5,1.0,3.0,3.0,596.6543,99.8535,2.0,3.0,0.0,http://canttboardjabalpur.org.in
4.0,0.0,1.0,0.0,2.0,1.0,128.0342,98.1199,4.0,12.0,3.0,http://jnvjharsuguda.nic.in
4.0,0.0,1.0,0.0,10.0,0.0,123.459,98.9013,3.0,4.0,0.0,http://employmentnews.gov.in
4.0,0.0,1.0,0.0,10.0,0.0,123.8887,98.9051,3.0,4.0,0.0,http://www.rojgarsamachar.gov.in
4.0,0.75,0.25,0.0,0.0,0.0,0.5469,0.0,0.0,1.0,0.0,http://www.kvccl.org.in
4.0,0.75,0.25,0.0,0.0,0.0,0.5547,0.0,0.0,1.0,0.0,http://aligarhnagarnigam.in
4.0,1.0,0.0,0.0,0.0,0.0,0.1738,0.0,0.0,1.0,0.0,http://www.casestatus.gov.in
5.0,0.0,0.0,0.0,0.0,0.0,0.3027,0.0,0.0,1.0,1.0,http://indiainbusiness.nic.in
5.0,0.0,0.0,0.0,0.0,0.0,156.75,72.7503,0.0,2.0,0.0,http://www.medicalcollegekolkata.org
5.0,0.0,0.0,0.0,1.0,0.0,0.6367,0.0,0.0,1.0,1.0,http://www.sczcc.gov.in
5.0,0.0,0.0,0.0,2.0,2.0,24.1152,95.6184,2.0,1.0,0.0,http://www.incometaxbengaluru.in
5.0,0.0,0.0,0.0,6.0,0.0,71.2373,58.7947,0.0,2.0,1.0,http://web1.hry.nic.in/crime
5.0,0.0,0.0,0.0,17.0,2.0,117.4961,98.2521,6.0,6.0,0.0,http://vizagcustoms.gov.in
5.0,0.0,0.0,1.0,9.0,0.0,62.7012,82.8178,4.0,2.0,1.0,http://watershed.kar.nic.in
5.0,0.0,1.0,0.0,0.0,0.0,0.2725,0.0,0.0,1.0,0.0,http://cgrhga.cg.gov.in
5.0,0.0,1.0,3.0,24.0,0.0,2191.374,96.6014,4.0,13.0,0.0,http://www.ukapmb.org
5.0,0.8,0.2,0.0,0.0,0.0,0.7158,0.0,0.0,1.0,0.0,http://www.statehealthsocietybihar.org
5.0,1.0,0.0,0.0,0.0,0.0,0.5566,0.0,0.0,1.0,0.0,http://itscindia.gov.in
5.0,1.0,0.0,0.0,0.0,0.0,0.5596,0.0,0.0,1.0,0.0,http://www.upmededu.gov.in
